Date,Open,High,Low,Close
1996-12-23,1.2398,1.2562,1.1288,1.1506
1997-03-24,1.149,1.168,1.119,1.1327
1997-06-23,1.1323,1.1417,1.0414,1.1045
1997-09-22,1.1058,1.163,1.0891,1.1135
1997-12-22,1.1113,1.1191,1.07,1.0842
1998-03-23,1.0845,1.1206,1.0695,1.1057
1998-06-22,1.1043,1.1758,1.0785,1.1622
1998-09-21,1.1612,1.2402,1.1455,1.1792
1998-12-21,1.1841,1.1906,1.078,1.0897
1999-03-22,1.0907,1.096,1.0254,1.039
1999-06-21,1.0386,1.0826,1.0104,1.0422
1999-09-20,1.0414,1.0911,0.9986,1.0079
1999-12-20,1.0079,1.0414,0.939,0.972
2000-03-20,0.9725,0.9788,0.8843,0.9646
2000-06-19,0.9634,0.9694,0.8524,0.8532
2000-09-18,0.8529,0.9022,0.8225,0.8952
2000-12-18,0.8941,0.9595,0.8878,0.8972
2001-03-19,0.8973,0.9125,0.8412,0.8616
2001-06-18,0.8625,0.9327,0.8352,0.9138
2001-09-24,0.9138,0.9241,0.875,0.8883
2001-12-24,0.8876,0.9062,0.8566,0.8822
2002-03-18,0.8807,0.9714,0.87,0.9706
2002-06-24,0.9685,1.0176,0.9612,0.9812
2002-09-23,0.9801,1.0324,0.9688,1.0267
2002-12-23,1.0266,1.1082,1.0221,1.0531
2003-03-24,1.0582,1.1929,1.0562,1.1603
2003-06-23,1.1609,1.1618,1.0762,1.1379
2003-09-22,1.145,1.2437,1.1382,1.2379
2003-12-22,1.2383,1.2923,1.2062,1.2277
2004-03-22,1.2273,1.2399,1.1759,1.2131
2004-06-21,1.2142,1.246,1.1969,1.2186
2004-09-20,1.2173,1.3468,1.2123,1.3315
2004-12-20,1.3333,1.3664,1.2731,1.3318
2005-03-21,1.3308,1.3316,1.2015,1.228
2005-06-20,1.2186,1.2588,1.1867,1.2237
2005-09-19,1.2161,1.2267,1.1641,1.2012
2005-12-19,1.2027,1.2322,1.1776,1.2189
2006-03-20,1.2179,1.2977,1.1951,1.2641
2006-06-19,1.2646,1.2937,1.2462,1.2662
2006-09-18,1.2633,1.3362,1.2484,1.3079
2006-12-18,1.3079,1.3339,1.2868,1.3315
2007-03-19,1.3316,1.3675,1.3252,1.3386
2007-06-18,1.338,1.4117,1.337,1.4089
2007-09-24,1.4091,1.4964,1.4013,1.4377
2007-12-24,1.437,1.5901,1.4369,1.5432
2008-03-24,1.5408,1.6015,1.5284,1.5608
2008-06-23,1.5626,1.6038,1.3884,1.446
2008-09-22,1.4489,1.4865,1.233,1.3905
2008-12-22,1.3922,1.436,1.2457,1.3583
2009-03-23,1.3656,1.4336,1.2891,1.3939
2009-06-22,1.3947,1.4764,1.3827,1.4709
2009-09-21,1.4694,1.5143,1.4261,1.4335
2009-12-21,1.4313,1.4579,1.3436,1.3528
2010-03-22,1.3517,1.369,1.1876,1.2389
2010-06-21,1.2428,1.3332,1.2152,1.3054
2010-09-20,1.3051,1.4281,1.2969,1.3188
2010-12-20,1.3164,1.4184,1.2876,1.4182
2011-03-21,1.4183,1.494,1.397,1.4308
2011-06-20,1.4277,1.4573,1.35,1.3797
2011-09-19,1.368,1.4246,1.2946,1.3043
2011-12-19,1.3034,1.3486,1.2624,1.3175
2012-03-19,1.3181,1.3385,1.2288,1.2657
2012-06-18,1.274,1.3169,1.2041,1.2983
2012-09-24,1.2979,1.3307,1.2661,1.3186
2012-12-24,1.3178,1.3709,1.291,1.3074
2013-03-18,1.2904,1.3415,1.2746,1.3123
2013-06-24,1.3102,1.3568,1.2756,1.352
2013-09-23,1.3531,1.3831,1.3295,1.3681
2013-12-23,1.367,1.3966,1.3477,1.3793
2014-03-24,1.3791,1.3993,1.3503,1.3597
2014-06-23,1.3593,1.37,1.2831,1.2836
2014-09-22,1.2828,1.2901,1.222,1.2225
2014-12-22,1.2221,1.227,1.0461,1.0822
2015-03-23,1.084,1.1466,1.0521,1.1345
2015-06-22,1.1368,1.1712,1.0809,1.1284
2015-09-21,1.1287,1.1495,1.05266,1.08695
2015-12-21,1.08601,1.13753,1.07108,1.12737
2016-03-21,1.12738,1.16146,1.10981,1.12797
2016-06-20,1.13181,1.14216,1.09045,1.11537
2016-09-19,1.11537,1.12962,1.03668,1.04428
2016-12-19,1.04469,1.08285,1.03408,1.07379
2017-03-20,1.0742,1.12952,1.05704,1.12014
2017-06-19,1.12007,1.20924,1.1119,1.19451
2017-09-18,1.19352,1.20203,1.15546,1.17539
2017-12-18,1.17468,1.25554,1.17408,1.22889
2018-03-19,1.22855,1.24763,1.15106,1.16092
2018-06-18,1.15953,1.18026,1.13012,1.17479
2018-09-24,1.17465,1.18148,1.12158,1.1359
2018-12-24,1.13686,1.15698,1.11766,1.13258
2019-03-18,1.13265,1.14479,1.11085,1.13723
2019-06-24,1.13733,1.1412,1.09264,1.10181
2019-09-23,1.10171,1.11994,1.08794,1.10757
2019-12-23,1.10781,1.14935,1.06379,1.06992
2020-03-23,1.06593,1.14217,1.06586,1.11865
2020-06-22,1.11835,1.20101,1.11687,1.18488
2020-09-21,1.18462,1.22728,1.16046,1.22452
2020-12-21,1.22306,1.23492,1.18359,1.19048
2021-03-22,1.18847,1.22665,1.17042,1.18682
2021-06-21,1.18659,1.19752,1.16642,1.17305
